region,reg_id,city,state,start,finish,posted,filled,Notes,
Southeast,SE,Miami,FL,11/13/16,11/18/16,9/5/16,,,
Southeast,SE,Miami,FL,11/20/16,11/23/16,9/5/16,,,
Southeast,SE,Miami,FL,12/12/16,12/19/16,9/5/16,,,
Southeast,SE,Miami,FL,3/12/17,3/17/17,9/5/16,,,
Southeast,SE,Miami,FL,4/3/17,4/8/17,9/5/16,,,
Southwest,SW,Dallas,TX,10/2/16,10/5/16,9/5/16,,,
Southwest,SW,Dallas,TX,10/9/16,10/14/16,9/5/16,,,
Southwest,SW,Dallas,TX,10/30/16,11/4/16,9/5/16,,,
Southwest,SW,Dallas,TX,11/6/16,11/11/16,9/5/16,,*,
Southwest,SW,Dallas,TX,11/13/16,11/17/16,9/5/16,,,
Southwest,SW,Dallas,TX,11/27/16,11/30/16,9/5/16,,,
Southwest,SW,Dallas,TX,12/4/16,12/8/16,9/5/16,,,
Southwest,SW,Dallas,TX,12/11/16,12/16/16,9/5/16,,,
Southwest,SW,Dallas,TX,12/18/16,12/23/16,9/5/16,,,
Southwest,SW,Dallas,TX,5/21/17,5/25/17,9/5/16,,,
Southwest,SW,Dallas,TX,6/25/17,6/29/17,9/5/16,,,
Southwest,SW,Dallas,TX,9/10/17,9/15/17,9/5/16,,,
Southwest,SW,Dallas,TX,9/17/17,9/21/17,9/5/16,,,
West,WC,Reno,NV,11/6/16,11/9/16,9/5/16,,,
West,WC,Reno,NV,11/20/16,11/23/16,9/5/16,,,
West,WC,Reno,NV,12/5/16,12/8/16,9/5/16,,,
West,WC,Reno,NV,12/12/16,12/15/16,9/5/16,,,
West,WC,Reno,NV,1/3/17,1/6/17,9/5/16,,,
West,WC,Reno,NV,4/9/17,4/12/17,9/5/16,,,
West,WC,Reno,NV,4/30/17,5/2/17,9/5/16,,,
West,WC,Reno,NV,5/14/17,5/17/17,9/5/16,,,
West,WC,Reno,NV,5/22/17,5/25/17,9/5/16,,,
West,WC,Reno,NV,5/28/17,6/2/17,9/5/16,,*,
West,WC,Reno,NV,6/4/17,6/8/17,9/5/16,,,
West,WC,Reno,NV,6/25/17,6/30/17,9/5/16,,,
West,WC,Reno,NV,7/2/17,7/5/17,9/5/16,,*,
West,WC,Reno,NV,7/16/17,7/19/17,9/5/16,,,
West,WC,Reno,NV,8/13/17,8/17/17,9/5/16,,,
West,WC,Reno,NV,8/20/17,8/24/17,9/5/16,,,
West,WC,Reno,NV,8/27/17,8/31/17,9/5/16,,,
West,WC,Reno,NV,9/4/17,9/7/17,9/5/16,,*,
West,WC,Reno,NV,12/3/17,12/6/17,9/5/16,,,
West,WC,Reno,NV,12/17/17,12/21/17,9/5/16,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
