id,item,responsible,completed,due date,optional,chained,hidden,prize
HNETTU,Get Ring,dan,yes,done!,no,,,
THVHMI,Get Engaged,Dan + Whit,yes,done!,no,,,
ZEKFPA,Set a Date,Dan + Whit,yes,done!,no,,,
JYCXZM,Select Location,Dan + Whit,yes,done!,no,,,
LLXAWA,Venue for Ceremony,Dan,yes,done!,no,,,
BDUFFW,Venue for Reception,Whit,no,soon,no,,,
PXCTOF,Select Wedding Party,Dan + Whit,yes,done!,no,,,
PXPGNJ,Tell Wedding Party,Dan + Whit,no,"October 21, 2016",no,PXCTOF,,
HKNDVT,Guest List,Dan + Whit,no,soon,no,,,
EIFTHU,Catering,Whit,no,soon,no,,,
XMWLPD,Premarital Counseling ,Bo,no,start Sept 28,no,,,
ENPBPS,Engagement Photos,Whit,no,none yet,yes,,,
WCHXBN,Work out Regimen/Diet,Dan,no,none yet,yes,,,
IAQJNK,Get addresses,Dan + Whit,no,none yet,no,HKNDVT,,
ZIQQLQ,Save the Dates,Dan + Whit,no,none yet,yes,HKNDVT,,
LTGKLM,Select Wedding Dress,Whitney,no,none yet,no,,,
DLCDCH,Select Groom Outfit,Dan,no,none yet,no,LTGKLM,,
GMZGQN,To Do Site,Dan,no,none yet,yes,,,
MPHVHF,Wedding Website,Dan,no,none yet,yes,HKNDVT,,
BPIOZO,Invitations,Dan + Whit,no,none yet,no,IAQJNK,,
CJXEJX,Photographer,Dan + Whit,no,none yet,no,,,
AUXLNV,Videographer,Dan + Whit,no,none yet,yes,,,
WWNHGX,Flowers,Debby/Celeste?,no,none yet,yes,,,
PZPEKF,Decorations,Whit + Celeste,no,none yet,no,BDUFFW,,
IHUHDG,Wedding Bands,Dan + Whit,no,none yet,no,,,
FNDNHE,Honeymoon Location,Dan,no,none yet,no,,,
HIYFWN,Honeymoon Flights,Dan,no,none yet,no,FNDNHE,,
XRGFMA,Honeymoon Hotels,Dan,no,none yet,no,HIYFWN,,
YTYIFW,Registry,Dan + Whit,no,none yet,no,,,
JRDKXL,Night-of Hotel (W?),Dan + Whit,no,none yet,yes,,,
YMMYTB,Bachelor Party,Groomsmen,no,none yet,yes,PXPGNJ,,
OKCALT,Bachelorette Party,Bridesmaids,no,none yet,yes,PXPGNJ,,
NKBNZL,Plan Ceremony,"Bo, Whit, Dan",no,none yet,no,XMWLPD,,
KCPCCM,Write Vows,Dan + Whit,no,"January 14, 2017",no,NKBNZL,,
TGXCHR,Plan Music,Dan + Whit,no,"January 14, 2017",no,BDUFFW,,
AUFVFB,Acquire Contraception,Whit,no,"January 14, 2017",no,,yes,
WKHKNI,Get Hitched,Everyone,no,"January 14, 2017",no,,,
OYBTCZ,Party Down,Everyone,no,"January 14, 2017",no,,,
UEFTJJ,Move out of 1233 G Street,Dan + Whit,no,"January 31, 2017",no,,,
CMGGJB,Housing options for Guests,Kurt + Debby,no,"Oct 31, 2017",no,,,
CPMALO,Bridal Shower/Wedding Shower,??,no,none yet,yes,,,
WZJLYM,Post Wedding Celebration in Texas,Whit + friends,no,none yet,no,WKHKNI,,
